Simulation,NumberOfGenes,DEgenes,Upregulated,TopCounts/DE,Correct/TopCounts,Correct/DE
390,11036,853,0.546148361,0.194564503,0.975903614,0.189876202
391,8729,2341,0.60468716,0.283094478,0.986425339,0.279251567
392,11962,1956,0.456673917,0.229989935,0.982222222,0.225901225
393,9201,2289,0.454424054,0.252058898,0.982668977,0.24769046
394,8958,2392,0.622670024,0.287088581,0.982532751,0.282073933
395,11686,3155,0.458416377,0.269053095,0.987043581,0.26556713
396,11813,3149,0.62651171,0.291146187,0.982551799,0.286066209
397,9082,1295,0.577305035,0.250067453,0.978395062,0.244664761
398,12187,1932,0.495749394,0.264916684,0.9765625,0.258707699
399,11601,2421,0.568544145,0.24485875,0.981450253,0.240316682
400,8972,1474,0.642148529,0.281492079,0.975903614,0.274709137
401,9252,1915,0.506642296,0.267325837,0.982421875,0.26262675
402,9252,2082,0.643313216,0.27800105,0.982728843,0.27319965
403,11039,1371,0.544984098,0.215115269,0.969491525,0.208552431
404,9888,1636,0.523921221,0.248138911,0.972906404,0.241415936
405,12249,1881,0.488991071,0.247688115,0.982832618,0.243435958
406,10725,2993,0.634996181,0.284651441,0.980046948,0.278971777
407,9742,1542,0.540117099,0.263848897,0.970515971,0.256069568
408,10295,754,0.456070053,0.194959195,0.965986395,0.18832793
409,9480,2664,0.492587011,0.280330344,0.986613119,0.276577595
410,11876,805,0.532927692,0.19242657,0.993548387,0.191185108
411,12461,2689,0.459542161,0.257644285,0.98989899,0.255041818
412,9573,1498,0.615184582,0.245560238,0.975543478,0.239554689
413,10684,2465,0.50379004,0.282661317,0.987087518,0.279011458
414,10145,2215,0.55753922,0.291124652,0.987596899,0.287513804
415,10710,922,0.646859643,0.225557761,0.966346154,0.217966875
416,8461,2296,0.497206997,0.292590013,0.992559524,0.290413004
417,11780,2826,0.531226322,0.299351906,0.979905437,0.293336561
418,10993,1037,0.457972057,0.221679205,0.991304348,0.21975156
419,8105,2103,0.492467407,0.291004272,0.988562092,0.287675792
420,8402,1526,0.62183182,0.279788578,0.969555035,0.271270424
421,8475,513,0.457231597,0.200493751,0.970873786,0.194654127
422,9045,1001,0.46280653,0.218745795,0.97260274,0.21275276
423,10264,1786,0.587672809,0.252487869,0.982261641,0.248009148
424,8249,571,0.482696593,0.201215713,0.947826087,0.190717502
425,11685,2481,0.598057462,0.269585128,0.985052317,0.265555455
426,11377,3277,0.486477449,0.288630146,0.986257928,0.28466377
427,10345,2802,0.512603384,0.289398401,0.986436498,0.285473145
428,12330,806,0.481170642,0.202094887,0.975460123,0.197135503
429,10044,2837,0.545385661,0.307616292,0.977090493,0.300568955
430,8253,2033,0.583903978,0.296016531,0.978405316,0.289624148
431,10543,750,0.51434144,0.218513644,0.957317073,0.209186842
432,8885,1105,0.644471914,0.246081606,0.959558824,0.236129777
